Survived,Age,SibSp,Parch,Fare,FamilySize,Singleton,SmallFamily,LargeFamily,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty
0,-0.5617535538628337,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0.059159876663617626,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0.6123694797407438,0.4327933656785018,-0.4736736092984604,0.7868452935884461,0.059159876663617626,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,-0.2682227954619393,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,0.392221410940073,0.4327933656785018,-0.4736736092984604,0.4207302360686478,0.059159876663617626,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
0,0.392221410940073,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-0.47809450807124537,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,-0.5609748304808925,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1.7864925133443212,-0.47454519624983954,-0.4736736092984604,0.395813560675251,-0.5609748304808925,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
0,-2.0294073458673054,2.2474704895351842,0.7676298785983874,-0.22408312108167944,1.9195639980971482,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
1,-0.1948401058617157,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0.6792945838081278,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1,-1.1488150706646223,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0.059159876663617626,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-1.8826419666668583,0.4327933656785018,0.7676298785983874,-0.312172377522981,0.6792945838081278,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,2.080023271745216,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,-0.5609748304808925,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
0,-0.7085189330632808,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0.6857521693409674,0.4327933656785018,5.73284383018578,-0.01870931177853076,3.1598334123861687,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,-1.1488150706646223,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,1.859875202944545,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,-0.5609748304808925,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,-2.0294073458673054,3.1548090514635256,0.7676298785983874,-0.06199888922968463,2.5396987052416584,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
1,0.17827038817417784,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0.09869065253917866,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,0.059159876663617626,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1,0.008971035775377886,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,-0.5609748304808925,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0.392221410940073,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,-0.5609748304808925,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
1,0.3188387213398495,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,-0.5609748304808925,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
